2025-10-13T00:00:00Z|0|0
2025-10-14T00:00:00Z|39|3
2025-10-15T00:00:00Z|10|6
2025-10-16T00:00:00Z|0|0
2025-10-17T00:00:00Z|60|4
2025-10-18T00:00:00Z|17|7
2025-10-19T00:00:00Z|25|6
2025-10-20T00:00:00Z|17|8
2025-10-21T00:00:00Z|19|7
2025-10-22T00:00:00Z|46|13
2025-10-23T00:00:00Z|15|8
2025-10-24T00:00:00Z|26|11
2025-10-25T00:00:00Z|19|12
2025-10-26T00:00:00Z|38|10
2025-10-27T00:00:00Z|11|9
2025-10-28T00:00:00Z|16|12
2025-10-29T00:00:00Z|33|8
2025-10-30T00:00:00Z|18|7
2025-10-31T00:00:00Z|4|4
2025-11-01T00:00:00Z|43|13
2025-11-02T00:00:00Z|28|10
2025-11-03T00:00:00Z|24|13
2025-11-04T00:00:00Z|2|1
2025-11-05T00:00:00Z|15|8
2025-11-06T00:00:00Z|17|9
2025-11-07T00:00:00Z|9|3
2025-11-08T00:00:00Z|74|12
2025-11-09T00:00:00Z|105|20
2025-11-10T00:00:00Z|72|8
2025-11-11T00:00:00Z|15|11
2025-11-12T00:00:00Z|27|7
2025-11-13T00:00:00Z|4|3
2025-11-14T00:00:00Z|12|5
2025-11-15T00:00:00Z|32|9
2025-11-16T00:00:00Z|43|12
2025-11-17T00:00:00Z|19|4
2025-11-18T00:00:00Z|24|9
2025-11-19T00:00:00Z|30|8
2025-11-20T00:00:00Z|37|7
2025-11-21T00:00:00Z|6|5
2025-11-22T00:00:00Z|69|11
2025-11-23T00:00:00Z|26|14
2025-11-24T00:00:00Z|34|5
2025-11-25T00:00:00Z|11|8
2025-11-26T00:00:00Z|11|4
2025-11-27T00:00:00Z|12|7
2025-11-28T00:00:00Z|12|6
2025-11-29T00:00:00Z|9|7
2025-11-30T00:00:00Z|14|8
2025-12-01T00:00:00Z|17|6
2025-12-02T00:00:00Z|9|6
2025-12-03T00:00:00Z|17|5
2025-12-04T00:00:00Z|16|8
2025-12-05T00:00:00Z|11|5
2025-12-06T00:00:00Z|11|6
2025-12-07T00:00:00Z|10|6
2025-12-08T00:00:00Z|4|2
2025-12-09T00:00:00Z|64|12
2025-12-10T00:00:00Z|8|7
2025-12-11T00:00:00Z|2|2
